identifier,affected,effector,rate,effect,dissociation,hill_coefficient
"int1","PIP2","PI3K","r2",,,
"int2","PIP3","PI3K","r2",,,
"int3","PIP2","PTEN","r2",-1,Km1,"n1"
"int4","PIP3","PTEN","r2",-1,Km1,"n1"
"int5","AKT","PIP3","r3",1,Km2,"n2"
"int6","pAKT","PIP3","r3",1,Km2,"n2"
"int7","PTEN","GSK3B","r4",,,
"int8","pPTEN","GSK3B","r4",,,
"int9","PTEN","LPS","s2",1,,
"int10","pPTEN","LPS","s2",-1,,
"int18","pPTEN","pPTEN","s2",-1,,
"int19","PTEN","pPTEN","s2","1",,
"int11","GSK3B","pAKT","r5",,,
"int12","pGSK3B","pAKT","r5",,,
"int13","GSK3B","HDACi","s1",1,,
"int14","TNFa","PTEN","k6",,,
"int15","TNFa","pAKT","r6",,,
"int16","Phagocytosis","pAKT","k7",,,
"int17","Phagocytosis","PTEN","r7",,,
"int20","PI3K","LY294-002","s4",-1,,
"int21","PI3K","PI3Ks","s5",1,,
"int22","P2Y12act",ATP,"k8",1,,
"int23","P2Y12s",ATP,"k8",-1,,
"int24","Gio","P2Y12act","k9",,,
"int25","Gio","Gio","r9",,,
"int26","PI3K","Gio","s5",1,,
"int27","PI3Ks","Gio","s5",-1,,
"int28","PI3Ks","PI3Ks","s5",-1,,
"int30","PI3Ks","LY294-002","s4",1,,
"int31","PI3K","PI3K","s4",-1,,
"int32","PI3Ks","PI3Ks","s4",-1,,
