identifier,affected,effector,rate,effect,dissociation,hill_coefficient
"int1","PIP2","PI3K","r2",None,None,None
"int2","PIP3","PI3K","r2",None,None,None
"int3","PIP2","PTEN","r2",-1,Km1,"n1"
"int4","PIP3","PTEN","r2",-1,Km1,"n1"
"int5","AKT","PIP3","r3",1,Km2,"n2"
"int6","pAKT","PIP3","r3",1,Km2,"n2"
"int7","PTEN","GSK3B","r4",None,None,None
"int8","pPTEN","GSK3B","r4",None,None,None
"int9","PTEN","LPS","s2",1,None,None
"int10","pPTEN","LPS","s2",-1,None,None
"int11","GSK3B","pAKT","r5",None,None,None
"int12","pGSK3B","pAKT","r5",None,None,None
"int13","GSK3B","HDACi","s1",1,None,None
"int14","TNFa","PTEN","k6",None,None,None
"int15","TNFa","pAKT","r6",None,None,None
"int16","Phagocytosis","pAKT","k7",None,None,None
"int17","Phagocytosis","PTEN","r7",None,None,None
