identifier,iv,type,k,r,mv,trs,other
"AKT",1.0,"non-stimulus","k3","r3",None,None,"pAKT"
"pAKT",1.0,"non-stimulus","r3","k3",None,None,"AKT"
"PTEN",1.0,"non-stimulus","k4","r4",None,None,"pPTEN"
"pPTEN",1.0,"non-stimulus","r4","k4",None,None,"PTEN"
"PIP2",1.0,"non-stimulus","k2","r2",None,None,"PIP3"
"PIP3",1.0,"non-stimulus","r2","k2",None,None,"PIP2"
"PI3K",1.0,"non-stimulus","k1","r1",None,None,None
"GSK3B",1.0,"non-stimulus","k5","r5",None,None,"pGSK3B"
"pGSK3B",1.0,"non-stimulus","r5","k5",None,None,"GSK3B"
"TNFa",0.0,"non-stimulus","k6","r6",None,None,None
"LPS",0.0,"stimulus",None,None,1.0,"60,240",None
"HDACi",0.0,"stimulus",None,None,1.0,"300,420",None
"ATP_metabotropic",0.0,"stimulus",None,None,1.0,None,None
"Phagocytosis",0.0,"non-stimulus","k7","r7",None,None,None
"LY294-002",0.0,"stimulus",None,None,1.0,None,None
"ATP_ionotropic",0.0,"stimulus",None,None,1.0,None,None
"Calcium",0.0,"stimulus",None,None,1.0,None,None
