identifier,value,fixed,bounds,bounds_type
"k1",0.22862556538162643,True,"0.01,1",real
"k2",0.9666174909604925,True,"0.01,1",real
"k3",0.6203257016528185,True,"0.01,1",real
"k4",0.02688314668847197,True,"0.01,1",real
"k5",0.8056871022125585,True,"0.01,1",real
"k6",1,False,"0.01,100",real
"k7",0.651815876492315,True,"0.01,1",real
"k8",0.336,True,"0.01,1",real
"k9",6,True,"0.01,1",real
"r1",0.3484950221909873,True,"0.01,1",real
"r2",0.2711344815892818,True,"0.01,1",real
"r3",0.07038233397158364,True,"0.01,1",real
"r4",0.699788335233804,True,"0.01,1",real
"r5",0.14941648404961172,True,"0.01,1",real
"r6",1,False,"0.01,100",real
"r7",0.2255344929138502,True,"0.01,1",real
"r8",1.2,True,"0.01,1",real
"r9",3,True,"0.01,1",real
"r10",0.1,True,"0.01,1",real
"s1",0.010230023503071067,True,"0.01,1",real
"s2",0.6248434091815371,True,"0.01,1",real
"s3",1.0,True,"0.01,1",real
"s4",0.5280606838261106,True,"0.01,1",real
"s5",16.8,True,"0.01,1",real
"Km1",0.580001951085156,True,"0.01,1",real
"Km2",0.3074069419222333,True,"0.01,1",real
"n1",1,True,"1,10",int
"n2",2,True,"1,10",int
